"id","street_name","limits","northbound_count","southbound_count","eastbound_count","westbound_count","total_count","file_no","date_count"
"04AV018513","04 AV","BEECH ST - CEDAR ST","","13031.0","","","13031.0","0185-13","2013-03-12 00:00:00"
"04AV008121","04 AV","BEECH ST - CEDAR ST","","7052.0","","","7052.0","0081-21","2021-03-10 00:00:00"
"04AV045806","04 AV","BROADWAY  - C ST","","8830.0","","","8830.0","0458-06","2006-10-09 00:00:00"
"04AV063409","04 AV","BROADWAY  - C ST","","8280.0","","","8280.0","0634-09","2009-10-08 00:00:00"
"04AV063112","04 AV","BROADWAY  - C ST","","10430.0","","","10430.0","0631-12","2012-08-07 00:00:00"
"04AV042116","04 AV","BROADWAY  - C ST","","7159.0","","","7159.0","0421-16","2016-10-25 00:00:00"
"04AV046206","04 AV","C ST - B ST","","10500.0","","","10500.0","0462-06","2006-10-10 00:00:00"
"04AV058707","04 AV","C ST - B ST","","8980.0","","","8980.0","0587-07","2008-01-08 00:00:00"
"04AV072308","04 AV","C ST - B ST","","10050.0","","","10050.0","0723-08","2008-12-04 00:00:00"
"04AV065009","04 AV","C ST - B ST","","8790.0","","","8790.0","0650-09","2009-10-06 00:00:00"
"04AV063012","04 AV","C ST - B ST","","7487.0","","","7487.0","0630-12","2012-08-07 00:00:00"
"04AV043716","04 AV","C ST - B ST","","8196.0","","","8196.0","0437-16","2016-10-25 00:00:00"
"04AV018507","04 AV","CEDAR ST - DATE ST","","14350.0","","","14350.0","0185-07","2007-03-13 00:00:00"
"04AV015510","04 AV","CEDAR ST - DATE ST","","10255.0","","","10255.0","0155-10","2010-03-17 00:00:00"
"04AV018613","04 AV","CEDAR ST - DATE ST","","12542.0","","","12542.0","0186-13","2013-03-12 00:00:00"
"04AV008021","04 AV","CEDAR ST - DATE ST","","9196.0","","","9196.0","0080-21","2021-03-10 00:00:00"
"04AV008705","04 AV","DATE ST - ELM ST","","12960.0","","","12960.0","0087-05","2005-03-29 00:00:00"
"04AV069211","04 AV","DATE ST - ELM ST","","11090.0","","","11090.0","0692-11","2011-08-17 00:00:00"
"04AV002514","04 AV","DATE ST - ELM ST","","9105.0","","","9105.0","0025-14","2014-02-11 00:00:00"
"04AV114714","04 AV","DATE ST - ELM ST","","9124.0","","","9124.0","1147-14","2014-08-05 00:00:00"
"04AV056315","04 AV","DATE ST - ELM ST","","9566.0","","","9566.0","0563-15","2015-03-04 00:00:00"
"04AV005318","04 AV","DATE ST - ELM ST","","9805.0","","","9805.0","0053-18","2018-03-13 00:00:00"
"04AV063509","04 AV","E ST - BROADWAY ","","9030.0","","","9030.0","0635-09","2009-10-06 00:00:00"
"04AV062812","04 AV","E ST - BROADWAY ","","10732.0","","","10732.0","0628-12","2012-08-09 00:00:00"
"04AV042216","04 AV","E ST - BROADWAY ","","9333.0","","","9333.0","0422-16","2016-10-25 00:00:00"
"04AV058306","04 AV","G ST - F ST","","14480.0","","","14480.0","0583-06","2006-10-09 00:00:00"
"04AV072408","04 AV","G ST - F ST","","13800.0","","","13800.0","0724-08","2008-12-03 00:00:00"
"04AV063309","04 AV","G ST - F ST","","14095.0","","","14095.0","0633-09","2009-10-20 00:00:00"
"04AV042016","04 AV","G ST - F ST","","13209.0","","","13209.0","0420-16","2016-10-25 00:00:00"
"04AV013108","04 AV","GRAPE ST - HAWTHORN ST","","7790.0","","","7790.0","0131-08","2008-03-20 00:00:00"
"04AV032211","04 AV","GRAPE ST - HAWTHORN ST","","9205.0","","","9205.0","0322-11","2011-05-25 00:00:00"
"04AV002614","04 AV","GRAPE ST - HAWTHORN ST","","6948.0","","","6948.0","0026-14","2014-02-11 00:00:00"
"04AV114614","04 AV","GRAPE ST - HAWTHORN ST","","6223.0","","","6223.0","1146-14","2014-08-05 00:00:00"
"04AV056415","04 AV","GRAPE ST - HAWTHORN ST","","6600.0","","","6600.0","0564-15","2015-03-04 00:00:00"
"04AV069411","04 AV","ISLAND AV - J ST","","4925.0","","","4925.0","0694-11","2011-09-01 00:00:00"
"04AV002714","04 AV","ISLAND AV - J ST","","2887.0","","","2887.0","0027-14","2014-02-11 00:00:00"
"04AV054619","04 AV","ISLAND AV - MARKET  ","","4542.0","","","4542.0","0546-19","2019-12-18 00:00:00"
"04AV071205","04 AV","ISLAND AV - MARKET ST","","5100.0","","","5100.0","0712-05","2005-11-15 00:00:00"
"04AV062808","04 AV","ISLAND AV - MARKET ST","","4710.0","","","4710.0","0628-08","2008-12-04 00:00:00"
"04AV108411","04 AV","ISLAND AV - MARKET ST","","5680.0","","","5680.0","1084-11","2011-11-17 00:00:00"
"04AV002814","04 AV","ISLAND AV - MARKET ST","","4465.0","","","4465.0","0028-14","2014-02-12 00:00:00"
"04AV098115","04 AV","ISLAND AV - MARKET ST","","4176.0","","","4176.0","0981-15","2015-11-18 00:00:00"
"04AV011707","04 AV","JUNIPER ST - KALMIA ST","","7400.0","","","7400.0","0117-07","2007-03-13 00:00:00"
"04AV013410","04 AV","JUNIPER ST - KALMIA ST","","8095.0","","","8095.0","0134-10","2010-03-18 00:00:00"
"04AV018713","04 AV","JUNIPER ST - KALMIA ST","","7942.0","","","7942.0","0187-13","2013-03-12 00:00:00"
"04AV114514","04 AV","JUNIPER ST - KALMIA ST","","6934.0","","","6934.0","1145-14","2014-08-05 00:00:00"
"04AV056515","04 AV","JUNIPER ST - KALMIA ST","","7314.0","","","7314.0","0565-15","2015-03-04 00:00:00"
"04AV005921","04 AV","JUNIPER ST - KALMIA ST","","3998.0","","","3998.0","0059-21","2021-03-30 00:00:00"
"04AV046106","04 AV","MARKET ST - G ST","","11990.0","","","11990.0","0461-06","2006-10-09 00:00:00"
"04AV063609","04 AV","MARKET ST - G ST","","9335.0","","","9335.0","0636-09","2009-10-06 00:00:00"
"04AV062912","04 AV","MARKET ST - G ST","","11687.0","","","11687.0","0629-12","2012-08-07 00:00:00"
"04AV042316","04 AV","MARKET ST - G ST","","10923.0","","","10923.0","0423-16","2016-10-20 00:00:00"
"04AV117714","04 AV","PALM ST - QUINCE ST","","6616.0","","","6616.0","1177-14","2014-10-01 00:00:00"
"04AV117514","04 AV","PENNSYLVANIA AV - BROOKES AV","","6633.0","","","6633.0","1175-14","2014-10-01 00:00:00"
"04AV008805","04 AV","PENNSYLVANIA AV - ROBINSON AV","","8980.0","","","8980.0","0088-05","2005-03-29 00:00:00"
"04AV013308","04 AV","PENNSYLVANIA AV - ROBINSON AV","","6730.0","","","6730.0","0133-08","2008-03-20 00:00:00"
"04AV032411","04 AV","PENNSYLVANIA AV - ROBINSON AV","","7515.0","","","7515.0","0324-11","2011-05-26 00:00:00"
"04AV002914","04 AV","PENNSYLVANIA AV - ROBINSON AV","","6562.0","","","6562.0","0029-14","2014-02-11 00:00:00"
"04AV113714","04 AV","PENNSYLVANIA AV - ROBINSON AV","","6231.0","","","6231.0","1137-14","2014-08-05 00:00:00"
"04AV005418","04 AV","PENNSYLVANIA AV - ROBINSON AV","","6871.0","","","6871.0","0054-18","2018-03-13 00:00:00"
"04AV117614","04 AV","QUINCE ST - REDWOOD ST","","6423.0","","","6423.0","1176-14","2014-10-01 00:00:00"
